1	3	12
1	4	13
1	5	9
1	6	186
1	8	38
1	9	24
1	10	4
1	11	20
1	12	18
1	14	3
1	15	1
1	16	1
1	17	2
1	19	5
1	20	2
1	21	8
1	22	7
1	23	2
1	24	15
1	25	9
1	26	2
1	27	23
1	28	12
1	29	15
1	30	6
1	31	19
1	32	18
1	33	4
1	34	8
1	35	94
1	36	3
1	37	2
2	4	1
2	6	4
2	9	6
2	11	1
2	19	1
2	23	1
2	27	1
2	30	1
2	31	1
2	35	2
3	4	11
3	6	80
3	7	2
3	8	12
3	9	2
3	11	12
3	12	16
3	13	1
3	15	1
3	16	2
3	17	4
3	18	2
3	19	8
3	20	3
3	21	1
3	22	2
3	24	3
3	25	1
3	27	3
3	28	2
3	29	1
3	31	9
3	32	8
3	34	1
3	35	39
3	36	1
3	37	2
4	6	71
4	8	7
4	9	22
4	10	1
4	11	13
4	12	11
4	13	3
4	15	1
4	16	1
4	17	5
4	19	5
4	21	3
4	22	6
4	23	1
4	24	1
4	27	10
4	28	10
4	29	5
4	30	5
4	31	8
4	32	5
4	34	3
4	35	39
4	36	1
4	37	2
5	6	26
5	8	13
5	13	1
5	20	1
5	23	3
5	24	6
5	25	4
5	27	3
5	30	1
5	31	2
5	32	1
5	35	9
5	37	1
6	7	3
6	8	150
6	9	60
6	10	12
6	11	98
6	12	73
6	13	21
6	14	6
6	15	12
6	16	5
6	17	40
6	18	3
6	19	33
6	20	21
6	21	46
6	22	40
6	23	16
6	24	77
6	25	37
6	26	6
6	27	70
6	28	56
6	29	53
6	30	16
6	31	95
6	32	61
6	33	18
6	34	20
6	35	349
6	36	27
6	37	20
7	11	1
7	12	1
7	19	1
7	30	1
7	31	3
7	35	3
8	9	13
8	10	3
8	11	9
8	12	9
8	13	1
8	15	2
8	17	6
8	19	8
8	20	1
8	21	6
8	22	8
8	23	3
8	24	26
8	25	11
8	27	15
8	28	2
8	29	6
8	30	1
8	31	12
8	32	4
8	33	3
8	35	84
8	36	3
8	37	3
9	10	1
9	11	9
9	12	3
9	17	3
9	19	5
9	20	2
9	21	4
9	22	1
9	23	2
9	24	6
9	25	3
9	26	3
9	27	11
9	28	12
9	29	5
9	30	2
9	31	20
9	32	6
9	33	1
9	34	1
9	35	52
9	36	4
9	37	2
10	12	2
10	20	1
10	21	2
10	22	1
10	23	1
10	24	1
10	29	2
10	31	2
10	32	1
10	33	1
10	34	1
10	35	7
11	12	9
11	13	7
11	14	2
11	15	2
11	16	3
11	17	6
11	18	2
11	19	3
11	20	3
11	21	8
11	22	4
11	23	2
11	24	3
11	25	1
11	27	8
11	28	8
11	29	9
11	30	4
11	31	21
11	32	5
11	33	2
11	34	3
11	35	34
11	36	6
11	37	4
12	13	1
12	14	3
12	15	1
12	16	1
12	17	5
12	19	1
12	20	3
12	21	5
12	22	3
12	23	2
12	24	6
12	27	2
12	28	9
12	29	7
12	30	2
12	31	14
12	32	5
12	33	2
12	34	1
12	35	29
12	36	4
12	37	3
13	15	1
13	17	4
13	20	1
13	22	2
13	24	1
13	27	4
13	28	1
13	29	4
13	30	1
13	31	1
13	32	4
13	33	1
13	35	9
13	36	2
14	31	2
14	35	1
15	19	1
15	24	2
15	25	1
15	26	1
15	28	2
15	31	1
15	32	1
15	34	1
15	35	11
15	36	1
16	22	2
16	31	1
16	35	1
17	18	1
17	19	2
17	20	1
17	21	5
17	22	2
17	24	5
17	25	3
17	27	7
17	28	6
17	29	3
17	30	1
17	31	7
17	32	9
17	33	1
17	34	3
17	35	11
17	36	4
17	37	1
18	20	1
18	35	1
19	21	1
19	22	3
19	24	8
19	25	1
19	27	3
19	28	4
19	31	4
19	33	1
19	35	16
19	36	2
20	21	2
20	25	1
20	28	4
20	29	3
20	30	1
20	31	5
20	32	1
20	35	8
20	37	1
21	22	2
21	23	1
21	24	5
21	27	3
21	28	6
21	29	29
21	31	7
21	32	7
21	34	2
21	35	20
21	36	5
21	37	2
22	23	1
22	24	5
22	25	1
22	27	5
22	28	3
22	29	3
22	31	5
22	32	4
22	35	13
22	36	4
23	24	1
23	25	1
23	27	1
23	28	1
23	29	2
23	30	1
23	31	3
23	35	5
23	36	1
23	37	1
24	25	14
24	26	1
24	27	7
24	28	4
24	29	5
24	31	5
24	32	5
24	33	3
24	35	32
24	36	2
25	26	1
25	27	3
25	28	1
25	31	2
25	32	1
25	35	16
25	36	3
26	35	4
27	28	6
27	29	2
27	30	2
27	31	8
27	32	6
27	33	1
27	34	4
27	35	39
27	36	1
27	37	1
28	29	7
28	30	3
28	31	12
28	32	6
28	33	1
28	34	2
28	35	27
28	36	6
28	37	3
29	30	2
29	31	4
29	32	4
29	33	1
29	34	1
29	35	20
29	36	7
29	37	1
30	31	3
30	32	1
30	34	2
30	35	6
30	37	1
31	32	3
31	33	3
31	34	3
31	35	44
31	36	5
31	37	7
32	33	1
32	34	1
32	35	29
32	36	7
32	37	2
33	35	8
33	36	1
33	37	2
34	35	6
35	36	10
35	37	12
36	37	3
